ID,Text,BG Color,Sticky type,Border line,Position X,Position Y,Area,Link to,objetivo de longo prazo,Pontos de atencao,Voting Session 3,Voting Session 4
0-1616090114070,"Unificar o processo","#C7FE80",3x3,NO,8387.29,4587.46,,,0,0,0,0
0-1616090107111,"Unificar em apenas um sistema a habilitação técnica","#FCFE7D",3x3,NO,8387.29,4785.63,,,1,0,0,0
0-1616090280714,"Entrada única de informação e comunicação no habilitação técnica","#C7FE80",3x5,NO,8381.75,4415.59,,,2,0,0,0
0-1616090264486,"Entrada única","#FCFE7D",3x3,NO,8666.45,4416.07,,,0,0,0,0
0-1616090097181,"Maior controle das informações","#C7FE80",3x3,NO,9026.44,4729.85,,,0,0,0,0
0-1616089915611,"Unificação dos sistemas","#FCFE7D",3x3,NO,8563.25,4586.98,,,0,0,0,0
0-1586539144906,"Menos dúvidas","#C7FE80",3x5,NO,8974.29,4887.85,,,0,0,0,0
0-1586539140723,"Centralizar o processo mantendo os sistemas core como donos das regras","#C7FE80",3x5,NO,8545.29,4814.62,,,0,0,0,0
0-1616090188690,"Mais clareza e simplicidade  para todos os envolvidos no processo","#FCFE7D",3x3,NO,9293.93,4557.98,,,0,0,0,0
0-1616090128623,"Redução de ação manual","#C7FE80",3x3,NO,9666.08,4442.53,,,0,0,0,0
0-1616090192854,"Melhor experiência para o usuário no Habilitação Técnica","#C7FE80",3x5,NO,9256.73,4798.85,,,1,0,0,0
0-1616090004960,"Simplicidade","#C7FE80",3x3,NO,9590.15,4813.13,,,1,0,0,0
0-1616090110861,"Simplicidade do processo","#C7FE80",3x5,NO,9615.46,4614.40,,,0,0,0,0
0-1616090029673,"Simplicidade no processo","#FCF356",3x3,NO,9762.02,4786.27,,,0,0,0,0
0-1586539142186,"Mais transparência e clareza do processo","#C7FE80",3x5,NO,8968.88,4386.10,,,0,0,0,0
0-1586539141543,"Maior agilidade no processo","#C7FE80",3x5,NO,9242.01,4386.10,,,0,0,0,0
0-1584476707704,"maior controle sobre os processo..","#C7FE80",3x5,NO,8968.88,4557.98,,,0,0,0,0
0-1616090115228,"Processo menos manual, com menos repetição de informações","#C7FE80",3x5,NO,9940.75,4614.40,,,0,0,0,0
0-1616090305250,"Agilidade para solicitar ","#FCFE7D",3x3,NO,10295.41,4799.66,,,0,0,0,0
0-1616090312018,"Maior segurança sobre a migração","#C7FE80",3x5,NO,9978.76,4415.59,,,0,0,0,0
0-1616090276907,"Menos perdas de prazo","#C7FE80",3x5,NO,10344.08,4415.59,,,0,0,0,0
0-1616090369739,"Automatização de tarefas para gerar mais agilidade para o cliente","#C7FE80",3x5,NO,10688.91,4462.99,,,1,0,0,0
0-1616090273090,"Melhorar a experiência do agente no processo de habilitação técnica","#FCFE7D",3x3,NO,10470.64,4848.34,,,2,0,0,0
0-1616090254963,"Aumento de produtividade para o cliente","#C7FE80",3x5,NO,10306.85,4614.40,,,1,0,0,0
0-1616090050149,"Diminuir o tempo necessário para realizar uma habilitação técnica","#FCFE7D",3x3,NO,10791.06,4656.55,,,0,0,0,0
0-1586539145533,"Melhorar a experiência dos clientes","#C7FE80",3x5,NO,9995.39,4848.34,,,1,0,0,0
0-1586539144319,"Maior autonomia para os envolvidos","#C7FE80",3x5,NO,10757.09,4861.73,,,0,0,0,0
0-1616090243440,"Qualidade do produto entregue","#C7FE80",3x3,NO,11309.33,4465.28,,,0,0,0,0
0-1616090175248,"Interface direta com os dados do cliente evitando preenchimentos manuais","#C7FE80",3x5,NO,11142.93,4766.61,,,0,0,0,0
0-1616090244855,"Cultura de Inovação","#FCFE7D",3x3,NO,11570.82,4552.01,,,0,0,0,0
0-1586539146081,"Participação de todos envolvidos","#C7FE80",3x5,NO,11597.14,4789.24,,,0,0,0,0
0-1616090226314,"Integração com as distribuidoras","#C7FE80",3x3,NO,12088.62,4562.67,,,0,0,0,0
